Feature,Ranking
channel3_gamma_power,1
channel3_std,1
channel4_alpha_power,1
channel4_zero_crossing_rate,1
channel4_range,1
channel4_max,1
channel3_signal_energy,1
channel4_std,1
channel3_delta_power,2
channel3_beta_power,3
channel3_var,4
channel4_var,5
channel4_mu_power,6
channel3_range,7
channel4_gamma_power,8
channel4_delta_power,9
channel4_beta_power,10
channel4_signal_energy,11
channel4_kurtosis,12
channel3_min,13
channel3_kurtosis,14
channel3_mean,15
channel3_theta_power,16
channel4_mean,17
channel4_min,18
channel4_theta_power,19
channel3_alpha_power,20
channel3_mu_power,21
channel4_skewness,22
channel3_skewness,23
channel3_max,24
channel3_zero_crossing_rate,25
