run_number,trial_number_overall,condition,event_type,software_timestamp_s
1,1,RIGHT,FIXATION_START,1747830148.853885
1,1,RIGHT,FIXATION_END,1747830151.35889
1,1,RIGHT,CUE_RIGHT_START,1747830151.359019
1,1,RIGHT,CUE_RIGHT_END,1747830152.864018
1,1,RIGHT,IMAGERY_START,1747830152.864186
1,1,RIGHT,IMAGERY_END,1747830156.8690948
1,1,RIGHT,ITI_START,1747830156.8692548
1,1,RIGHT,ITI_END,1747830159.87423
1,2,LEFT,FIXATION_START,1747830159.874401
1,2,LEFT,FIXATION_END,1747830162.379369
1,2,LEFT,CUE_LEFT_START,1747830162.379512
1,2,LEFT,CUE_LEFT_END,1747830163.879745
1,2,LEFT,IMAGERY_START,1747830163.87988
